"Name","State","Created","Runtime","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_8000","finished","2025-09-15T16:13:50.000Z","42","8","8000","1","6","0.08919999748468399","2.3091330528259277","2.298755168914795","750","0.08940000087022781","2.306075096130371"
"sample_55000","finished","2025-09-15T13:59:13.000Z","8072","1024","55000","0","161","0.954200029373169","0.15069957077503204","0.03205886483192444","138460","0.9517999887466432","0.15662765502929688"
"sample_47000","finished","2025-09-14T04:22:26.000Z","6027","1024","47000","0","126","0.939300000667572","0.20887553691864016","0.1896655112504959","92610","0.9369999766349792","0.21275974810123444"
"sample_40000","finished","2025-09-14T02:11:53.000Z","7829","1024","40000","0","197","0.9488999843597412","0.1685207486152649","0.09828674048185349","123125","0.9480000138282776","0.17394624650478363"
"sample_32000","finished","2025-09-14T00:27:52.000Z","6237","1024","32000","0","205","0.9416000247001648","0.1974567323923111","0.23718476295471191","102500","0.9399999976158142","0.2015971541404724"
"sample_25000","finished","2025-09-13T20:50:13.000Z","4953","1024","25000","0","281","0.9434999823570251","0.18813779950141907","0.06920298933982849","109871","0.9435999989509584","0.1923112720251083"
"sample_12000","finished","2025-09-13T20:43:06.000Z","421","1024","12000","0","44","0.4593999981880188","2.1353564262390137","2.1451315879821777","8272","0.4580000042915344","2.13619327545166"
"sample_8000","finished","2025-09-13T20:05:13.000Z","2266","1024","8000","0","341","0.8955000042915344","0.35093122720718384","0.25429853796958923","42625","0.8992000222206116","0.35271531343460083"
"sample_55000","finished","2025-09-13T12:13:45.000Z","6655","512","55000","0","169","0.9455000162124634","0.1809256672859192","0.049677010625600815","145340","0.9467999935150146","0.1867472678422928"
"sample_47000","finished","2025-09-13T12:10:05.000Z","214","512","47000","0","6","0.16089999675750732","2.284097671508789","2.2920784950256348","4410","0.15459999442100525","2.2847135066986084"
"sample_40000","finished","2025-09-13T12:06:54.000Z","185","512","40000","0","6","0.13199999928474426","2.287466049194336","2.2887117862701416","3750","0.12680000066757202","2.287992477416992"
"sample_32000","finished","2025-09-13T12:04:04.000Z","164","512","32000","0","6","0.1136000007390976","2.290908098220825","2.286072254180908","3000","0.1103999987244606","2.291392087936402"
"sample_25000","finished","2025-09-13T12:00:34.000Z","196","512","25000","0","7","0.11349999904632568","2.292104721069336","2.28772497177124","2737","0.11020000278949738","2.292616844177246"
"sample_12000","finished","2025-09-13T11:58:31.000Z","114","512","12000","0","5","","","2.29795241355896","1044","0.12359999865293504","2.299737453460694"
"sample_8000","finished","2025-09-13T11:56:50.000Z","95","512","8000","0","10","0.12479999661445618","2.298299789428711","2.299243211746216","1250","0.11940000206232072","2.2985432147979736"
"sample_55000","finished","2025-09-13T11:53:30.000Z","194","256","55000","0","6","0.11349999904632568","2.29259729385376","2.2946937084198","5160","0.11020000278949738","2.2935376167297363"
"sample_47000","finished","2025-09-13T11:50:36.000Z","168","256","47000","0","6","0.11349999904632568","2.2942018508911133","2.3039684295654297","4410","0.11020000278949738","2.295229434967041"
"sample_40000","finished","2025-09-13T11:48:02.000Z","148","256","40000","0","6","0.11349999904632568","2.2955193519592285","2.2992000579833984","3750","0.11020000278949738","2.296563148498535"
"sample_32000","finished","2025-09-13T11:45:50.000Z","127","256","32000","0","6","0.11349999904632568","2.2968759536743164","2.290149450302124","3000","0.11020000278949738","2.2980034351348877"
"sample_25000","finished","2025-09-13T11:43:59.000Z","105","256","25000","0","6","0.11349999904632568","2.298084020614624","2.2912206649780273","2346","0.11020000278949738","2.299280166625977"
"sample_12000","finished","2025-09-13T11:36:41.000Z","433","256","12000","0","7","0.11349999904632568","2.299983501434326","2.30099105834961","1316","0.11020000278949738","2.301238775253296"
"sample_8000","finished","2025-09-13T11:35:23.000Z","72","256","8000","0","8","0.11349999904632568","2.300640344619751","2.302654266357422","1000","0.11020000278949738","2.301832437515259"
"sample_55000","finished","2025-09-13T11:31:15.000Z","243","128","55000","0","8","0.11349999904632568","2.2965023517608643","2.303061008453369","6880","0.11020000278949738","2.298091173171997"
"sample_47000","finished","2025-09-13T11:27:15.000Z","235","128","47000","0","9","0.11349999904632568","2.2967753410339355","2.3030776977539062","6615","0.11020000278949738","2.298457384109497"
"sample_40000","finished","2025-09-13T11:23:45.000Z","204","128","40000","0","9","0.11349999904632568","2.2977254390716553","2.302605628967285","5625","0.11020000278949738","2.299468517303467"
