run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
hbjxjm6z,sample_8000,1000,"(64, 64, 64)",64,64,64,10,2.9831775e-05,0.0016953412,-0.0010391832,0.00096420693,0.020576416,0.07200134,0.07124095,0.06953805,0.07831132411956787,0.0859822928905487,0.21418574
hb5yau4l,sample_12000,1000,"(64, 64, 64)",64,64,64,10,0.00076197385,0.0028766016,0.00055871636,0.0009642346,0.020864135,0.07303436,0.07238962,0.07811575,0.2562747299671173,0.18574081361293793,0.55951524
erlqz15r,sample_25000,1000,"(64, 64, 64)",64,64,64,10,0.0004852742,0.00226119,-0.00016147038,0.0009642298,0.020723836,0.07252991,0.071825676,0.07412714,0.18728172779083252,0.1481853425502777,0.4840682
9d94lasc,sample_32000,1000,"(64, 64, 64)",64,64,64,10,0.0004782793,0.0022444972,-0.00017602602,0.00096423336,0.020720858,0.07251935,0.07181256,0.074030384,0.1855088770389557,0.14726971089839935,0.4817954
huh5hzoo,sample_40000,1000,"(64, 64, 64)",64,64,64,10,0.0021387648,0.012207381,0.008856958,0.0009648621,0.028113645,0.09806803,0.09819357,0.18770094,0.8002849817276001,0.5402066707611084,0.43870866
2o28k17g,sample_47000,1000,"(64, 64, 64)",64,64,64,10,0.0022371046,0.012107154,0.008767492,0.000964834,0.027877338,0.09727385,0.09738291,0.18491836,0.8103913068771362,0.5404163599014282,0.44572905
s6cp6jof,sample_55000,1000,"(64, 64, 64)",64,64,64,10,0.0023096749,0.012042198,0.008695215,0.0009645615,0.027607488,0.09635354,0.096459135,0.18176487,0.8126376867294312,0.5394999980926514,0.453094
z8lwis3i,sample_8000,1000,"(128, 128, 128)",128,128,128,10,0.0003581827,0.00057293265,0.0011608101,-0.000639695,0.020667568,0.05143349,0.05110739,0.05353545,0.15663859248161316,0.12693847715854645,0.43161356
t2ft9g24,sample_12000,1000,"(128, 128, 128)",128,128,128,10,0.00031280424,0.00050699356,0.0011078066,-0.00063969713,0.02065343,0.051397152,0.051070645,0.053043723,0.14578332006931305,0.12116095423698425,0.41048115
eyedgtmo,sample_25000,1000,"(128, 128, 128)",128,128,128,10,0.00020140981,0.00035054615,0.000990032,-0.0006397012,0.020623624,0.0513209,0.05099358,0.051979296,0.12026698142290115,0.10761906951665878,0.3399879
uo4uiouh,sample_32000,1000,"(128, 128, 128)",128,128,128,10,0.00017991525,0.0003221506,0.00096827117,-0.0006396976,0.02061829,0.0513073,0.050980132,0.05178743,0.11533215641975403,0.10501114279031754,0.32442683
32f3oc62,sample_40000,1000,"(128, 128, 128)",128,128,128,10,0.00020915028,0.00036070187,0.000995514,-0.00063969893,0.02062498,0.05132435,0.05099727,0.05201954,0.12187705188989639,0.10838271677494049,0.34525713
9yjiy76c,sample_47000,1000,"(128, 128, 128)",128,128,128,10,0.00021138528,0.00036338,0.0009975279,-0.0006396992,0.020625515,0.051325724,0.05099867,0.052039538,0.12239520996809006,0.10862931609153748,0.3475569
pmi55rvf,sample_55000,1000,"(128, 128, 128)",128,128,128,10,0.0016021983,0.0056103505,0.0052226083,-0.00063924293,0.025047641,0.06211222,0.061966013,0.13836454,0.5862953662872314,0.40664511919021606,0.4382185
8w84dan2,sample_8000,1000,"(256, 256, 256)",256,256,256,10,0.00030516298,0.00012038911,0.00023574018,0.00036553742,0.020667236,0.03620378,0.03618383,0.03850824,0.13351300358772278,0.11576345562934875,0.36056894
8vkdg4vo,sample_12000,1000,"(256, 256, 256)",256,256,256,10,0.00029321766,0.000100166304,0.00022331416,0.00036553972,0.020663876,0.03619761,0.036177408,0.038342327,0.1307622194290161,0.11427033692598343,0.35305887
